PLAY "Play"
DISARMS "{1} disarms a {2}."
YOU_DISARM "You disarm the {1}."
DISASSEMBLE_MINION_BUTTON "Disassemble"
DISASSEMBLES "{1} disassembles {2}"
DISASSEMBLE_TASK "Disassemble {1}"
DISMISS_AND_DONT_ASK_AGAIN "Dismiss and don't ask this again"
DISMISS_FOR_200_TURNS "Dismiss for 200 turns"
DISMOUNT_BUTTON "Dismount"
DOES_NOT_TRIGGER_ENEMIES "Does not trigger enemies when it attacks"
DONT_CHASE_TEAM_ORDER_DESCRIPTION "Team members won't move toward enemies, and only fight those that are adjacent."
DONT_CHASE_TEAM_ORDER "Don't chase"
DOUBLE_TROUBLE_EFFECT_DESCRIPTION "Creates a twin copy ally."
DOUBLE_TROUBLE_EFFECT_NAME "double trouble"
DROP_ITEMS_ANYWHERE_TASK "Drop items anywhere"
DROP_ITEMS_TASK "Drop items"
DROWNED_DEATH_REASON "drowned"
DROWNS_IN "{1} drowns in the {2}."
YOU_DROWN "You drown in the {1}."
DRUNK "drunk!"
DUEL_TASK "Duel task: {1}"
DUNGEON_CONQUER_RATE "Conquer rate: {1}"
DUNGEON_CONQUER_RATE_TIP "Number of times this dungeon has been conquered over how many times it has been loaded."
DUNGEON_MODS_TIP "These mods may be required to load this dungeon:"
DURING_CERTAIN_TIME_OF_DAY "during a certain time of day"
DURING_THE_DAY "during the day"
EAT_TASK "Eat"
EFFEC_WHEN_EQUIPED "Effect when equipped: {1}"
EIGHT "eight"
ELEVEN "eleven"
ENEMIES "enemies"
ENTANGLED "entangled in a web"
ENTER_A_NAME_FOR "Enter a name for {1}"
ENTER_FIRST_NAME "Enter first name:"
ENTER_MESSAGE "Enter message"
ENTER_PORTAL "You enter the {1}."
ENTER_SETTLEMENT_NAME "Enter settlement name:"
EQUIP_ITEM_TASK "Equip {1}"
EQUIPMENT_STORAGE_HIGHLIGHT "Equipment storage"
ERROR_DOWNLOADING_FILE "Error downloading file"
ERROR "Error"
ERROR_SENDING_BUG_REPORT "There was an error while sending the bug report: {1}"
ERROR_UPLOADING_FILE "Error uploading file"
ERROR_UPLOADING_MOD "Error uploading mod:"
ESCAPE_EFFECT_DESCRIPTION "Teleports to a safer location close by."
ESCAPE_EFFECT_NAME "escape"
EXCEEDS_POP_LIMIT "Exceeds population limit"
EXECUTES "{1} executes {2}"
EXIT_CONTROL_MODE "Exit control mode"
EXTRA_BODY_PART "Extra {1}"
EXTRA_BODY_PARTS "{1} extra {2}"
EXTRA_TRAINING_POTENTIAL "Extra {1} training potential"
FAILED_TO_LOAD_SAVE "Failed to load the save file :("
FAILED_TO_LOAD_TUTORIAL "Failed to load the tutorial :("
FALLS_APART "{1} falls apart."
FALLS_ASLEEP_IN "{1} falls asleep on the {2}."
FASTER "moving faster"
FEELS_LIKE_DOING_SOME_WORK "{1} feels like doing some work."
FEELS_LAZY "{1} feels lazy."
FEELS_LIKE_WORKING_OUT "{1} feels like working out."
FETCHING_ITEMS_HIGHLIGHT "Fetching items"
FIGHTER_STATUS_DESCRIPTION "Must be killed to conquer tribe"
FIGHTER_STATUS "Fighter"
FILL_FURNITURE "You fill the {1}."
FILLS_FURNITURE "{1} fills the {2}."
FINISHING_YOU_TRIGGER "Finishing you off"
FIRE_SCROLL_DESCRIPTION "Sets itself on fire."
FIVE "five"
FLANKED_HINT "Flanked: defense reduced by {1}%."
FORBIDDEN_ZONE_HIGHLIGHT "Forbidden zone"
FOUR "four"
FREEZES_AND_EXPLODES "{1} freezes and explodes!"
FROZEN "frozen!"
FULLY_HEALED "fully healed"
FURNITURE_BANG "BANG!"
FURNITURE_BURNS_DOWN "The {1} burns down."
FURNITURE_CATCHES_FIRE "The {1} catches fire."
FURNITURE_CRASH "CRASH!"
FURNITURE_DISSOLVES "The {1} is dissolved."
FURNITURE_FALLS "The {1} falls."
FURNITURE_FREEZES "The {1} freezes."
FURNITURE "furniture"
FURNITURE_IS_DESTROYED "The {1} is destroyed."
FURNITURE_IS_DUG_OUT "The {1} is dug out."
FURNITURE_IS_FILLED "The {1} is filled."
FURNITURE_MELTS "The {1} melts."
FURNITURE_STOPS_BURNING "The {1} stops burning."
GAME_OVER "Game over"
GAME_STATS_QUESTION "The game would like to gather statistics while you're playing and send them anonymously to the developer. Do you agree?"
GAS_RELEASED "A {1} cloud is released."
GAS_RELEASED_UNSEEN "You hear a hissing sound."
GHOST "Ghost"
GIVE_GOLD_TO "Give {1} gold to {2}?"
GIVE_HOW_MANY "Give how many {1}?"
GIVE_ITEM_TO "Give {1} to {2}?"
GIVE_WHOM "Give whom?"
GLYPH_LABEL "[{1}]"
GO_BACK_BUTTON "Go back"
GRANTS_ABILITY "Grants ability: {1}"
GRANTS_BUFF "grants {1}"
GROUP_JOINS_YOUR_FORCES "A {1} of {2} {3} joins your forces."
GROWS_LIMB "{1} grows {2}."
GROWS_LIMBS "{1} grows {2}."
GUARD_ZONE1_HIGHLIGHT "Guard area 1"
GUARD_ZONE2_HIGHLIGHT "Guard area 2"
GUARD_ZONE3_HIGHLIGHT "Guard area 3"
HAPPENS_TO_YOU "{1} you."
HAS_BEEN_CAPTURED_BY_ENEMY "{1} has been captured by the enemy."
HAS_GONE_BERSERK "has gone berserk!"
HAS_REVIVED "{1} has revived {2}."
YOU_HAVE_REVIVED "You have revived {1}."
HAS_SUMMONED_DEMON "{1} has summoned a friendly demon!"
HAVE_GONE_BERSERK "You have gone berserk!"
HEALING_EFFECT_DESCRIPTION "Fully restores health."
HEALING_EFFECT_NAME "healing"
HIDDEN "hidden"
HIS "{1}'s {2}"
HIS_BODY_CRUMBLES_TO_DUST "{1}'s body crumbles to dust."
HIS_BODY_PART_IS_BITTEN_OFF "{1}'s {2} is bitten off!"
HIS_BODY_PART_IS_BROKEN "{1}'s {2} is broken!"
HIS_BODY_PART_IS_CHOPPED_OFF "{1}'s {2} is chopped off!"
HIS_BODY_PART_IS_CRUSHED "{1}'s {2} is crushed!"
HIS_BODY_PART_IS "{1}'s {2} {3}!"
HIS_BODY_PART_IS_RIPPED_TO_PIECES "{1}'s {2} is ripped to pieces!"
HIS_IDENTITY_IS_UNCOVERED "{1} is uncovered!"
HIS_LIFE_WILL_NO_LONGER_BE_SAVED "{1}'s life will no longer be saved."
HIS_SKULL_IS_SHATTERED "{1}'s skull is shattered!"
HIS_STOMACH_RECEIVES_A_DEADLY_BLOW "{1}'s stomach receives a deadly blow!"
HOME_MAP_BIOME "Home map biome: {1}"
HOSTILE_MAGICAL_FIELD_HIGHLIGHT "Hostile magical field"
HUMANOID "a humanoid"
IDLE_TASK "Idle"
ILLUSION "Illusion"
IMMEDIATE_TRIGGER "Immediate"
IMMIGRANT_ATTR_BONUS "{1} {2}"
IMMIGRANT_SPECIAL_ATTR_BONUS "{1} {2} {3}"
IMMIGRANT_AUTO_ACCEPTED "(Immigrant will be accepted automatically)"
IMMIGRANT_AUTO_REJECTED "(Immigrant will be rejected automatically)"
IMMIGRANT_COMPANION "{1} companion"
IMMIGRANT_TURNS_LEFT "Turns left: {1}"
IMMIGRANT_WONT_JOIN_DURING "Immigrant won't join during the {1}."
IMPORTANT_TITLE "Important!"
IMPROVES "{1} improves {2} {3} of {4}"
INCLUDE_SAVE_FILE "Include save file"
INCLUDE_SCREENSHOT "Include screenshot"
INCREASE_DAMAGE_OR_DEFENSE_BY_ONE "Increase either damage or defense by 1"
INFECTED "infected by plague!"
IN_GAS "in {1}"
INGREDIENT_ON_THE_GROUND "on the ground {1}"
INJURED_BODY_PART "Injured {1}"
INSANE "insane"
INSIDE_AN_ANIMAL_PEN "inside an animal pen"
INSUFFICIENT_LIGHT_HIGHLIGHT "Insufficient light"
IN_TERRITORY "in territory"
INTRINSIC_ATTACK_INACTIVE "Inactive"
IS_AWARE_OF_DANGER "{1} is aware of danger."
IS_BITTEN_IN_THE_NECK "{1} is bitten in the neck!"
IS_BURNING "{1} is burning!"
IS_BURNT_BY_THE_SUN "{1} is burnt by the sun."
IS_CONVERTED "{1} is converted to your side."
IS_CRITICALLY_WOUNDED "{1} is critically wounded!"
IS_CUT_IN_HALF "{1} is cut in half!"
IS_DESTROYED_BY "{1} is destroyed by {2}."
IS_FLYING "{1} is flying!"
IS_MOVING_FASTER_AGAIN "{1} is moving faster again."
IS_MOVING_SLOW_AGAIN "{1} is moving more slowly again."
IS_NO_LONGER_AGGRAVATES "{1} is no longer aggravating enemies."
IS_NO_LONGER_BLIND "{1} is no longer blind."
IS_NO_LONGER_FUNNY "{1} is no longer funny."
IS_NO_LONGER_HALLU "{1} is no longer hallucinating."
IS_NO_LONGER_IMMOBILE "{1} is no longer immobile."
IS_NO_LONGER_LOCKED_POSITION "{1} is no longer locked in position."
IS_NO_LONGER_PLAGUE_RESISTANT "{1} is no longer plague resistant."
IS_NO_LONGER_POISON_RESISTANT "{1} is no longer poison resistant."
IS_NO_LONGER_POLYMORPHED "{1} is no longer polymorphed."
LESS_UNDERSTANDING "less understanding"
MORE_UNDERSTANDING "more understanding"
IS_NO_LONGER_RESTED "{1} is no longer rested."
IS_NO_LONGER_SATIATED "{1} is no longer satiated."
IS_NO_LONGER_SLEEP_RESISTANT "{1} is no longer sleep resistant."
IS_NO_LONGER_SWARMER "{1} is no longer a swarmer."
IS_NO_LONGER_VULNERABLE_TO_SUNLIGHT "{1} is no longer vulnerable to sunlight."
IS_NOT_HURT "{1} is not hurt!"
IS_RIPPED_TO_PIECES "{1} is ripped to pieces!"
IS_SHOT_IN_THE "{1} is shot in the {2}!"
IS_STABBED_IN_THE "{1} is stabbed in the {2}!"
IS_TURNED_OFF "{1} is turned off."
IS_TURNED_ON "{1} is turned on."
IS_UNABLE_TO_CAST_SPELLS "{1} is unable to cast spells!"
IS_UNCONCIOUS "{1} is unconscious."
IS_WOUNDED "{1} is wounded!"
ITEM_COUNT "{2} {1}"
ITEM_CRASHES_ON_THE "{2} crashes on the {1}"
ITEMS_CRASH_ON_THE "{2} crash on the {1}"
ITEM_CRASHES_ON "{2} crashes on the {1}"
ITEMS_CRASH_ON "{2} crash on the {1}"
ITEM_CRASHES_ON_YOU "{1} crashes on you."
ITEM_HITS_THE "{2} hits the {1}"
ITEM_HITS_YOU "{1} hits you."
ITEM_MAY_HURT_MINION "This item may potentially hurt your minion. Continue?"
ITEM_MISSES_YOU "{1} misses you."
ITEMS_CRASH_ON_YOU "{1} crash on you."
ITEMS_HIT_YOU "{1} hit you."
ITEMS_MISS_YOU "{1} miss you."
ITEM_USED_UP "{1} is used up."
ITSELF "itself"
JEWELLERY_GROUP "jewellery"
JOINS_YOUR_FORCES "{1} joins your forces."
KEEPER "Keeper"
KEEPER_F "Keeper"
KEY_ENTER "[Enter]"
KEY_MODIFIER "{1} + {2}"
KILLED_BY_SUNLIGHT "killed by sunlight"
KILLED_BY_TORTURE "killed by torture"
KILLED_BY "killed by {1}."
IS_KILLED_BY "{1} is {2} by {3}."
YOU_KILLED_BY "You are {2} by {1}."
KILLED_MEMBERS_TRIGGER "Killed tribe members"
KILL_TASK "Kill {1}"
KILL_TITLES_HINT "Titles are awarded for killing tribe leaders. They can increase each attribute up to the base attribute value."
KNIGHT_NAME "knight"
KNOCKED_OUT "knocked out"
KRAKEN "kraken"
KRAKEN_TENTACLE "kraken tentacle"
LEARNS "{1} learns the {2} of {3}."
LEG_BODY_PART "leg" "legs" : plural
LEGENDARY_BEAST "legendary beast"
LEGENDARY_HUMANOID "legendary humanoid"
LOCATION_TOO_DANGEROUS_HINT "Location too dangerous to build"
LOCK_DOOR_ACTION "Lock door"
LOCKED_ITEMS_HINT "Locked items won't be automatically swapped by minion."
LOCK_POSITION_BUTTON "Lock position"
LOCK_POSITION_TOOLTIP "Enabling will prevent other minions from swapping position with this automaton. You can still push it forward in control mode."
LOOKS_LIKE_A_DANCING_FOOL "{1} looks like a dancing fool."
LOOKS "{1} looks {2}."
LOST_BODY_PART "Lost {1}"
LUXURY_HINT "Total luxury: {1}"
MAKE_HUMANOID_EFFECT_DESCRIPTION "Turns creature into a humanoid"
MAKE_HUMANOID_EFFECT_NAME "make humanoid"
MAKES_A "{1} makes a {2}"
MATERIALIZATION_EFFECT_DESCRIPTION "Fully re-materializes a spirit."
MATERIALIZATION_EFFECT_NAME "materialization"
MESSAGE_EFFECT_DESCRIPTION "Displays a message"
MESSAGE_EFFECT_NAME "message effect"
MESSAGES_LOG "Messages log"
MINION_ACTIVITY_EFFECT_DESCRIPTION "Sets a minion's activity."
MINION_ACTIVITY_EFFECT_NAME "minion activity"
MINION_LEISURE_ZONE_HIGHLIGHT "Minion leisure zone"
MINIONS_DISCOVER_LOCATION "{1} has discovered a new location."
MINION_TRAIT_EFFECT_NAME "make {1}"
MORE_BUTTON "[more]"
MORE_EXPERIENCED "more experienced"
MOUNT_ACTION "Mount"
MOUNT_BUTTON "Mount"
MOVE_NOW_ACTION "Move now"
NEXT_ENEMY_WAVE "next enemy wave"
NINE "nine"
NO_AND_NEVER_ASK "No, and don't ask me again"
NO_ARMS "no arms"
NO_HEAD "no head"
NO_LEGS "no legs"
NO_LIMBS "no limbs"
NO_MESSAGES_YET "No messages yet"
NON_AUTOMATONS "non-automatons"
NON_HUMANOIDS "non-humanoids"
NO "No"
NO_RETIRED_DUNGEONS "No retired dungeons found :("
NO_ROOM_TO_SPAWN "Not enough room to spawn."
NO_TASKS_PRESENT "No tasks present."
NOT_AVAILABLE "Not available"
NOT_AVAILABLE_UNTIL_TURN "Not available until turn {1}"
OF_SUFFIX "of {1}"
ONE "one"
ORDER_CAPTURE_ACTION "Order capture"
INVENTORY_LABEL "Inventory:"
OUTDOORS_LABEL "Outdoors"
INDOORS_LABEL "Indoors"
OWN_TRIBE "own tribe"
PAINTING_DEPICTING "painting depicting {1}"
PANICS "{1} panics."
PEACEFUL "peaceful"
PERSISTENT_ITEM_FETCHING_ZONE_HIGHLIGHT "Persistent item fetching zone"
PET_ACTION "Pet"
PICK_UP_HOW_MANY "Pick up how many {1}?"
PILLAGE "Pillage {1}"
PLACE_FURNITURE_EFFECT_DESCRIPTION "Creates a piece of furniture of the chosen type."
PLACE_FURNITURE_EFFECT_NAME "build furniture"
PLANNED_HINT "Planned"
PLUS_MINUS_ATTR "{1} {2}"
POEM_ABOUT "{1} about {2}"
POISONED "poisoned"
POISON_RESISTANT "poison resistant"
POLYMORPH_INTO_EFFECT_DESCRIPTION "Polymorphs into {1}"
POP_LIMIT_REACHED "population limit is reached"
POPULATION_TRIGGER "Population"
PREGNANT "pregnant!"
PRESS_TO_UNPAUSE "Press {1} to unpause."
SPACE_KEY "space"
PRIORITY_TASK_HIGHLIGHT "Priority task"
PRISONER "prisoner"
PRISONER_STATUS_DESCRIPTION "Captured from a hostile tribe"
PRISONER_STATUS "Prisoner"
PRISON_MUST_BE_SEPARATE_HIGHLIGHT "Prison must be separated from the outdoors and from all staircases using prison bars or a prison door"
PRISON_TILE "prison tile"
PRISON_TILES "prison tiles"
MINION_PRODUCES "{1} {2} {3}"
PRODUCES_VERB "produces"
WRITES_VERB "writes"
RAISES_VERB "raises"
FORGES_VERB "forges"
CONCOCTS_VERB "concocts"
PROJECTILES_WONT_HIT_ALLIES "projectiles won't hit allies"
PROMOTION_TYPE_LABEL "Promotion type:"
PROXIMITY_TRIGGER "Proximity"
PUSH_ACTION "Push"
RACE_OF_LOCATION "The {1} of {2}"
RAGES "{1} is enraged."
RANGED_WEAPONS_UPGRADE_TYPE "ranged weapons"
REACHES_TRAINING_LEVEL "{1} reaches {2} training level {3}"
REALLY_ABSORB "Really absorb {1}?"
REBELLION_CHANCE_HIGH "high"
REBELLION_CHANCE_LOW "low"
REBELLION_CHANCE_MEDIUM "medium"
REBELLION_RISK "rebellion risk"
RECRUITS_AVAILABLE "You have discovered {1}! Recruits are now available in the immigration UI."
REMOVE_DUNGEON "Remove"
REMOVE_FROM_TEAM_ACTION "Remove from team"
REMOVE_FURNITURE_EFFECT_DESCRIPTION "Removes {1}"
REMOVE_FURNITURE_EFFECT_NAME "remove furniture"
REMOVE_MINION_TRAIT_EFFECT_NAME "remove minion trait"
